Month,Site,Rep No.,CO2,CH4,pH,Temp,Salinity,Chl-a,Depth,Fe(OH)3,HS-,Grain Size
NOV,A,1,7413.059159,0.0426367,7.97,23.4,30.7,0.89,0.2,127.6632308,-0.667203256,37.4884
NOV,A,2,1270.744022,0.444217598,7.97,23.4,30.7,0.89,0.2,127.6632308,-0.667203256,37.4884
NOV,A,3,1016.50008,0.092899058,7.97,23.4,30.7,0.89,0.2,127.6632308,-0.667203256,37.4884
NOV,A,1,1181.391261,0.786342314,7.97,23.4,30.7,0.89,0.2,130.5125569,-0.376857297,12.6675
NOV,A,2,1940.380555,0.416427165,7.97,23.4,30.7,0.89,0.2,130.5125569,-0.376857297,12.6675
NOV,A,3,1114.156824,0.410643851,7.97,23.4,30.7,0.89,0.2,130.5125569,-0.376857297,12.6675
NOV,B,1,1786.890615,0.157604969,8.71,18.9,20.67,1.78,0.3,121.6837041,-0.210092506,73.7632
NOV,B,2,1999.478857,0.856578063,8.71,18.9,20.67,1.78,0.3,121.6837041,-0.210092506,73.7632
NOV,B,3,-1825.333285,0.386704907,8.71,18.9,20.67,1.78,0.3,121.6837041,-0.210092506,73.7632
NOV,B,1,1213.076679,0.340983984,8.71,18.9,20.67,1.78,0.2,229.5330284,-0.119664847,73.3316
NOV,B,2,3097.048397,0.387460492,8.71,18.9,20.67,1.78,0.2,229.5330284,-0.119664847,73.3316
NOV,B,3,1035.837955,0.116539921,8.71,18.9,20.67,1.78,0.2,229.5330284,-0.119664847,73.3316
NOV,C,1,3030.579491,10.64109921,7.5,22.5,1.39,1.78,1,61.03201185,-0.162496593,21.307
NOV,C,2,2878.339403,6.606329917,7.5,22.5,1.39,1.78,1,61.03201185,-0.162496593,21.307
NOV,C,3,3988.505444,3.952567773,7.5,22.5,1.39,1.78,1,61.03201185,-0.162496593,21.307
NOV,C,1,2980.006565,5.664203581,7.5,22.5,1.39,1.78,1,47.26594686,0.029766146,274.908
NOV,C,2,4408.062924,0.337204338,7.5,22.5,1.39,1.78,1,47.26594686,0.029766146,274.908
NOV,C,3,3065.488865,1.44036937,7.5,22.5,1.39,1.78,1,47.26594686,0.029766146,274.908
SEP,A,1,3056.427777,-1.176281126,7.94,15.1,25.1,3.56,0.3,10.17631227,-0.051759698,37.4884
SEP,A,2,3063.830968,-1.986719711,7.94,15.1,25.1,3.56,0.3,10.17631227,-0.051759698,37.4884
SEP,A,3,4771.701373,-0.10954629,7.94,15.1,25.1,3.56,0.3,10.17631227,-0.051759698,37.4884
SEP,A,1,4084.035288,3.705810088,7.94,15.1,25.1,3.56,0.3,6.328206623,-0.058758591,12.6675
SEP,A,2,1452.177047,0.033695552,7.94,15.1,25.1,3.56,0.3,6.328206623,-0.058758591,12.6675
SEP,A,3,3113.509767,-1.161164616,7.94,15.1,25.1,3.56,0.3,6.328206623,-0.058758591,12.6675
SEP,B,1,2870.682506,-0.123081656,8.41,15.4,7.18,2.67,0.3,10.71833239,-0.007057192,73.7632
SEP,B,2,2914.665906,-5.660529902,8.41,15.4,7.18,2.67,0.3,10.71833239,-0.007057192,73.7632
SEP,B,3,3603.280777,3.251434413,8.41,15.4,7.18,2.67,0.3,10.71833239,-0.007057192,73.7632
SEP,B,1,2324.660802,1.385723472,8.41,15.4,7.18,2.67,0.5,19.17326996,0.050332983,73.3316
SEP,B,2,3409.790243,1.087600472,8.41,15.4,7.18,2.67,0.5,19.17326996,0.050332983,73.3316
SEP,B,3,2504.219673,-0.572469141,8.41,15.4,7.18,2.67,0.5,19.17326996,0.050332983,73.3316
SEP,C,1,2827.820043,18.6083517,8.43,17.6,4.16,10.68,1,2.294254427,0.393935985,21.307
SEP,C,2,2825.623795,5.742466726,8.43,17.6,4.16,10.68,1,2.294254427,0.393935985,21.307
SEP,C,3,2806.478131,1.22718539,8.43,17.6,4.16,10.68,1,2.294254427,0.393935985,21.307
SEP,C,1,3324.489664,3.823899051,8.43,17.6,4.16,10.68,1,0,0.111007245,274.908
SEP,C,2,3587.051081,2.20291712,8.43,17.6,4.16,10.68,1,0,0.111007245,274.908
SEP,C,3,2219.478543,5.193737199,8.43,17.6,4.16,10.68,1,0,0.111007245,274.908
JUL,A,1,-563.3492855,1.30422819,7.93,12,34,0.89,0.2,3.749056904,-0.44834455,37.4884
JUL,A,2,-124.9756683,0.528748552,7.93,12,34,0.89,0.2,3.749056904,-0.44834455,37.4884
JUL,A,3,1352.380946,0.137826878,7.93,12,34,0.89,0.2,3.749056904,-0.44834455,37.4884
JUL,A,1,-88.43764744,0.297547201,7.93,12,34,0.89,0.2,3.708484153,-0.094250582,12.6675
JUL,A,2,-276.7840419,0.812271413,7.93,12,34,0.89,0.2,3.708484153,-0.094250582,12.6675
JUL,A,3,78.48180496,0.252235882,7.93,12,34,0.89,0.2,3.708484153,-0.094250582,12.6675
JUL,B,1,699.6822596,0.1253753,8.45,13.3,23.9,0.89,0.3,8.17154566,-0.01152046,73.7632
JUL,B,2,42.71925079,0.462468307,8.45,13.3,23.9,0.89,0.3,8.17154566,-0.01152046,73.7632
JUL,B,3,-125.4608975,0.191112648,8.45,13.3,23.9,0.89,0.3,8.17154566,-0.01152046,73.7632
JUL,B,1,515.662128,0.330262537,8.45,13.3,23.9,0.89,0.5,11.01790796,-0.117364087,73.3316
JUL,B,2,449.3648593,3.457887512,8.45,13.3,23.9,0.89,0.5,11.01790796,-0.117364087,73.3316
JUL,B,3,349.1090973,2.212992947,8.45,13.3,23.9,0.89,0.5,11.01790796,-0.117364087,73.3316
JUL,C,1,-481.6846759,21.96762358,8.49,11.7,3.14,5.34,1,2.55255931,1.663713404,21.307
JUL,C,2,512.9153577,45.96010814,8.49,11.7,3.14,5.34,1,2.55255931,1.663713404,21.307
JUL,C,3,-225.1039481,70.56857367,8.49,11.7,3.14,5.34,1,2.55255931,1.663713404,21.307
JUL,C,1,-605.8914361,3.378917595,8.49,11.7,3.14,5.34,0.5,0.580265913,1.985811747,274.908
JUL,C,2,-884.3065297,-0.071336417,8.49,11.7,3.14,5.34,0.5,0.580265913,1.985811747,274.908
JUL,C,3,-483.2038261,49.79567676,8.49,11.7,3.14,5.34,0.5,0.580265913,1.985811747,274.908
